"","Rank","RatingTomatometer","Title","No. of Reviews"
"1",1,"99%","The Wizard of Oz (1939)",107
"2",2,"98%","E.T. The Extra-Terrestrial (1982)",98
"3",3,"100%","Toy Story 2 (1999)",163
"4",4,"98%","Snow White and the Seven Dwarfs (1937)",43
"5",5,"99%","Toy Story 3 (2010)",280
"6",6,"98%","Up (2009)",280
"7",7,"99%","Finding Nemo (2003)",238
"8",8,"100%","Pinocchio (1940)",41
"9",9,"100%","Toy Story (1995)",78
"10",10,"96%","Harry Potter and the Deathly Hallows - Part 2 (2011)",306
"11",11,"94%","It's a Wonderful Life (1946)",68
"12",12,"100%","Mary Poppins (1964)",44
"13",13,"96%","The LEGO Movie (2014)",221
"14",14,"96%","Miracle on 34th Street (1947)",46
"15",15,"98%","How to Train Your Dragon (2010)",200
"16",16,"97%","The Incredibles (2004)",231
"17",17,"98%","Paddington (2015)",124
"18",18,"96%","Ratatouille (2007)",230
"19",19,"98%","101 Dalmatians (1961)",45
"20",20,"96%","Fantasia (1940)",50
"21",21,"98%","Who Framed Roger Rabbit (1988)",60
"22",22,"97%","The Iron Giant (1999)",130
"23",23,"97%","Big (1988)",70
"24",24,"97%","Chicken Run (2000)",165
"25",25,"97%","Spirited Away (2001)",177
"26",26,"97%","The Princess Bride (1987)",63
"27",27,"96%","Monsters, Inc. (2001)",192
"28",28,"96%","The Muppets (2011)",206
"29",29,"97%","Babe (1995)",68
"30",30,"100%","About Elly (2015)",40
"31",31,"95%","Wallace & Gromit: The Curse of the Were-Rabbit (2005)",176
"32",32,"98%","The Secret of Roan Inish (1995)",43
"33",33,"96%","Yellow Submarine (1968)",47
"34",34,"94%","The Nightmare Before Christmas (1993)",88
"35",35,"95%","Antz (1998)",88
"36",36,"94%","Hugo (2011)",203
"37",37,"96%","The Straight Story (1999)",89
"38",38,"98%","Song Of The Sea (2014)",57
"39",39,"95%","My Fair Lady (1964)",44
"40",40,"93%","Enchanted (2007)",187
"41",41,"92%","Fantastic Mr. Fox (2009)",224
"42",42,"94%","Aladdin (1992)",66
"43",43,"91%","Bambi (1942)",46
"44",44,"91%","Harry Potter and the Prisoner of Azkaban (2004)",249
"45",45,"90%","Coraline (2009)",256
"46",46,"92%","How to Train Your Dragon 2 (2014)",159
"47",47,"93%","Jason and the Argonauts (1963)",40
"48",48,"92%","The Little Mermaid (1989)",65
"49",49,"93%","James and the Giant Peach (1996)",72
"50",50,"89%","Frozen (2013)",214
"51",51,"93%","Spy Kids (2001)",126
"52",52,"92%","Ponyo (2009)",159
"53",53,"92%","A Bug's Life (1998)",84
"54",54,"92%","Princess Mononoke (1999)",105
"55",55,"92%","Arthur Christmas (2011)",157
"56",56,"93%","My Neighbor Totoro (1988)",43
"57",57,"93%","Beauty and the Beast (2012)",103
"58",58,"88%","Harry Potter and the Goblet of Fire (2005)",246
"59",59,"90%","Tangled (2010)",215
"60",60,"93%","That Thing You Do! (1996)",54
"61",61,"89%","Big Hero 6 (2014)",186
"62",62,"93%","L'Heure d'̩t̩ (Summer Hours) (2009)",101
"63",63,"93%","First Position (2012)",70
"64",64,"93%","Lassie (2006)",68
"65",65,"88%","Shrek 2 (2004)",232
"66",66,"93%","Duma (2005)",61
"67",67,"88%","Rango (2011)",212
"68",68,"87%","Kung Fu Panda (2008)",177
"69",69,"88%","Ben-Hur (1959)",42
"70",70,"90%","Winnie the Pooh (2011)",126
"71",71,"90%","The Karate Kid (1984)",42
"72",72,"87%","Shrek (2001)",190
"73",73,"89%","The Muppet Movie (1979)",44
"74",74,"88%","A Christmas Story (1983)",52
"75",75,"85%","The Sound of Music (1965)",55
"76",76,"90%","The Lion King (2011)",110
"77",77,"91%","The Secret of Kells (2010)",79
"78",78,"87%","ParaNorman (2012)",163
"79",79,"87%","Howl's Moving Castle (2005)",172
"80",80,"84%","Harry Potter and the Half-Blood Prince (2009)",263
"81",81,"87%","Millions (2005)",158
"82",82,"88%","Freaky Friday (2003)",148
"83",83,"86%","Wreck-it Ralph (2012)",168
"84",84,"87%","Field of Dreams (1989)",54
"85",85,"87%","Cloudy With a Chance of Meatballs (2009)",139
"86",86,"85%","The Princess and the Frog (2009)",184
"87",87,"89%","Bears (2014)",56
"88",88,"83%","Charlie and the Chocolate Factory (2005)",221
"89",89,"86%","Mulan (1998)",73
"90",90,"85%","Bridge to Terabithia (2007)",157
"91",91,"85%","The Emperor's New Groove (2000)",127
"92",92,"84%","Elf (2003)",185
"93",93,"83%","Tim Burton's Corpse Bride (2005)",187
"94",94,"86%","Anastasia (1997)",51
"95",95,"86%","The Parent Trap (1998)",50
"96",96,"82%","Harry Potter and the Chamber of Secrets (2002)",229
"97",97,"86%","Fly Away Home (1996)",44
"98",98,"84%","Akeelah and the Bee (2006)",136
"99",99,"84%","Puss in Boots (2011)",142
"100",100,"85%","The Secret Garden (1993)",40
